id,crystal_structure(core/shell),Space group(core),Space group(shell),chemical formula,Structure,length (D),width,depth,shape,core_1,core_2(shell),Name,synonyms,Cas rn (core_1),Cas rn (core_2),Exp type,Scale bar (nm),microphotography pic,Spectrum,JCPDS card (core),JCPDS card (shell),X-ray tube (nm),Instrument,Crystalline size,Material fraction,curie temperature (K),temperature (K),H-range min (kOe),H-range max(kOe),Ms (emu/g),Hc (Oe),Mr (emu/g),Instrument,exchange bias shift Hb or Heb(Oe),vertical loop shift M vsl (emu/g),M-H curve,cooling fields (mT),FC field(T),"Hc of measurement (kOe) ",applied field(kOe),Article id,Method,Tb,Keff (effective anisotropy constant) (erg/cm3),Keff (Jm^-3),"Total magnetization ",Atomic mass ratio,Number of magnetic ions per unit cell,get_exchange_group_info,number_of_unique_magnetic_sites,number_of_magnetic_sites
68,cubic,fd3m,0,Fe3O4,Fe3O4,33,33,33,sphere,Fe3O4,0,iron oxide,iron ferrite,1317-61-9,0,HRTEM,100,1,1,89-3854,0,0.15406,"Rigaku, ULTIMA IV",18.58,Fe3O4,,300,-15,15,70.264,22.41,1.65,Lakeshore 7410 vibrating sample magnetometer,0,0,1,0,0,0,,doi.org/10.1038/s41598-020-75669-3,,,51500,51500,,,,,,
69,"cube, cube",fm3m,fd3m,Fe3O4/NiO,NiO/Fe3O4,52.02,52.02,52.02,sphere,Fe3O4,Ni1O1,NF,,1317-61-9,1313-99-1,HRTEM,200,1,1,78-0643,89-3854,0.15406,"Rigaku, ULTIMA IV",18.42,NiO,,300,-15,15,31.33,37.09,1.35,Lakeshore 7410 vibrating sample magnetometer,0,0,1,0,0,0,,doi.org/10.1038/s41598-020-75669-3,solvothermal method,,18500,18500,,,,,,
70,"cube, cube",fd3m,fm3m,NiO/Fe3O4,Fe3O4/NiO,31.75,31.75,31.75,sphere,Ni1O1,Fe3O4,FN,,1313-99-1,1317-61-9,HRTEM,100,1,1,78-0643,89-3854,0.15406,"Rigaku, ULTIMA IV",16.76,NiO,,300,-15,15,40.03,100.29,2.16,Lakeshore 7410 vibrating sample magnetometer,0,0,1,0,0,0,,doi.org/10.1038/s41598-020-75669-3,solvothermal method,,23300,23300,,,,,,
71,"cube, cube",fm3m,fd3m,Fe3O4/NiO,NiO/Fe3O4,52.02,52.02,52.02,sphere,Fe3O4,Ni1O1,NF,,1317-61-9,1313-99-1,HRTEM,200,1,1,78-0643,89-3854,0.15406,"Rigaku, ULTIMA IV",18.42,NiO,,60,-15,15,33,95.69,8.6,Lakeshore 7410 vibrating sample magnetometer,-329.43,8.6,1,,,,,doi.org/10.1038/s41598-020-75669-3,solvothermal method,,18500,18500,,,,,,
72,"cube, cube",fd3m,fm3m,NiO/Fe3O4,Fe3O4/NiO,31.75,31.75,31.75,sphere,Ni1O1,Fe3O4,FN,,1313-99-1,1317-61-9,HRTEM,100,1,1,78-0643,89-3854,0.15406,"Rigaku, ULTIMA IV",16.76,NiO,,60,-15,15,44.89,145.18,8.16,Lakeshore 7410 vibrating sample magnetometer,145.18,-8.16,1,,,,,doi.org/10.1038/s41598-020-75669-3,solvothermal method,,23300,23300,,,,,,
73,trigonal,pbam,r3c,Bi2Fe4O9/BiFeO3,Bi2Fe4O9/BiFeO3,19,19,19,flower,Bi2Fe4O9,Bi1Fe1O3,bismuth complex oxide,BFO,,,HRTEM,50,1,,,,,,112,Bi2Fe4O9,,2,-50,50,,1300,0.052,"MPMS XL 5, Quantum Design",-1600,0.053,1,5000,5,50,,doi.org/10.1016/j.jmmm.2019.165783,sonochemical route,60,,,,,,,,
74,"trigonal, orthorhombic",r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,13,13,13,flower,Bi1Fe1O3,Bi2Fe4O9,bismuth ferrite,BFO,12010-42-3,,HRTEM,50,1,,,,,,19,Bi2Fe4O9,,2,-50,50,,1225,0.046,"MPMS XL 5, Quantum Design",1825,0.054,1,5000,5,50,,doi.org/10.1016/j.jmmm.2019.165783,sonochemical route,350,,,,,,,,
75,"trigonal, orthorhombic",r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,19,19,19,flower,Bi1Fe1O3,Bi2Fe4O9,bismuth ferrite,BFO,12010-42-3,,HRTEM,,,,,,,,19,Bi2Fe4O9,,2,-50,50,,900,0.0365,"MPMS XL 5, Quantum Design",-1500,0.058,1,5000,5,50,,doi.org/10.1016/j.jmmm.2019.165783,sonochemical route,350,,,,,,,,
76,"trigonal, orthorhombic",r3c,pbam,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,13,13,13,flower,Bi1Fe1O3,Bi2Fe4O9,bismuth ferrite,BFO,12010-42-3,,HRTEM,,,,,,,,19,Bi2Fe4O9,,2,-50,50,,750,0.049,"MPMS XL 5, Quantum Design",1650,0.061,1,5000,5,50,,doi.org/10.1016/j.jmmm.2019.165783,sonochemical route,350,,,,,,,,
77,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,2,-40,40,52,449.38,17.6,,9.41,0,1,0,0,0,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
78,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,2,-40,40,51.385,477.614,22.13,,-84.7,3.77,1,1000,1,10,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
79,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,2,-60,60,52.18,471.34,21.98,,-71.36,3.3,1,2000,2,20,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
80,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,2,-60,60,,453.4,21.963,,-64.764,2.8,1,4000,4,40,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
81,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,10,-40,40,50.3,415,17.09,,5,0,1,0,0,0,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
82,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,10,-40,40,"50,275",429,19.818,,-49.725,2.546,1,1000,1,10,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
83,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,10,-60,60,48.91,421.24,19.4,,-41.96,2.4,1,3000,3,30,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
84,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,100,-40,40,51,55.122,3.195,,2.42,0,1,0,0,0,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
85,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,100,-40,40,48.85,53.78,3.345,,2.42,-0.1,1,1000,1,10,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
86,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,100,-60,60,50.6,53,3.375,,2.42,-0.66,1,2000,2,20,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
87,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,300,-40,40,52.5,20.115,1.442,,1.355,0,1,0,0,0,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
88,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,300,-40,40,46.11,19.88,1.438,,-0.6585,-0.139,1,1000,1,10,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
89,"tetragonal, cubic",p42/mnm,p4132,TiO2/Fe2O3,TiO2/Fe2O3,12.9,12.9,12.9,,Ti1O2,Fe2O3,Ti-doped maghemite,,13463-67-7,1309-37-1,,,,1,,,0.1542,Rigaku ZSX Primus IV spectrometer,12.9,,,300,-60,60,45.78,20.814,1.5775,,-0.659,-0.0695,1,2000,2,20,,"doi.org/10.3390/magnetochemistry8120165 ",sol-gel,217.5,,,,,,,,
90,cube,fd3m,0,Fe3O4,Fe3O4,15,15,15,sphere,Fe3O4,0,iron ferrite,iron oxide,1317-61-9,0,FESEM,200,1,1,89-0950,,0.15406,,,,858,5,-20,20,57,624.1,33.04,,-15,3.8,1,3000,3,30,0.1,doi.org/10.1007/s10854-021-07606-7,thermal decomposition method,155,,,,,,,,
91,cube,fd3m,0,Co0.4Fe2.6O4,Co0.4Fe2.6O4,16.8,16.8,16.8,quasi-spherical,Co0.4Fe2.6O4,0,,,,0,FESEM,200,1,1,,,0.15406,,,,,5,-20,20,55,8336,43.5,,-52,2.15,1,3000,3,30,0.1,doi.org/10.1007/s10854-021-07606-7,high temperature for the synthesis of monodispersed,181,,,,,,,,
92,cube,fd3m,0,Co0.7Fe2.3O4,Co0.7Fe2.3O4,18.6,18.6,18.6,quasi-spherical,Co0.7Fe2.3O4,0,,,,0,FESEM,200,1,1,,,0.15406,,,,,5,-20,20,51,10760,36.47,,-70,0,1,3000,3,30,0.1,doi.org/10.1007/s10854-021-07606-7,high temperature for the synthesis of monodispersed,252,,,,,,,,
93,cube,fd3m,0,CoFe2O4,CoFe2O4,20,20,20,quasi-spherical,Co1Fe2O4,0,cobalt ferrite,cobalt iron oxide,12052-28-7,0,FESEM,200,1,1,,,0.15406,,,,793,5,-20,20,45,14563,32.22,,-20,2.48,1,3000,3,30,0.1,doi.org/10.1007/s10854-021-07606-7,high temperature for the synthesis of monodispersed,302,,,,,,,,
94,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,1103,10,-50,50,1.259,1219.58,0.0485,SQUID-VSM,-1219.58,0.0485,1,6500,6.5,65,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,35,,,,,,,,
95,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,1103,130,-50,50,0.8455,429.82,0.0105,SQUID-VSM,-1182,0.031,1,6500,6.5,65,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,35,,,,,,,,
96,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,1103,300,-50,50,0.646,1500,0.025,SQUID-VSM,342.15,0.006,1,6500,6.5,65,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,35,,,,,,,,
97,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,,10,-50,50,1.24,1361.93,0.057,SQUID-VSM,0,0,,0,0,0,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,55,,,,,,,,
98,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,,130,-50,50,0.84,901.82,0.025,SQUID-VSM,0,0,,0,0,0,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,,,,,,,,,
99,trigonal,r3c,0,BiFeO3,BiFeO3,18,18,18,sphere,Bi1Fe1O3,0,bismuth ferrite,BFO,12010-42-3,0,,,,,,,,,,,,300,-50,50,0.672,2309.79,0.039,SQUID-VSM,0,0,,0,0,0,0.2,doi.org/10.1038/s41598-018-19676-5,sol-gel,55,,,,,,,,
100,bcc,im3m,0,Fe0.7Co0.3,FeCo,45,45,45,cube,Fe0.7Co0.3,0,,,71701-40-1,0,SEM,1000,1,,,,,,,,,10,-30,30,63,3999.6,34.3,Superconductor Quantum Interference Vibrating Sample Magnetometer,-0.1,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
101,bcc,im3m,0,Fe0.7Co0.3,FeCo,48,48,48,cube,Fe0.7Co0.3,0,,,71701-40-1,0,SEM,500,1,,,,,,,,,150,-30,30,59.95,1299.65,28,Superconductor Quantum Interference Vibrating Sample Magnetometer,399.95,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
102,bcc,im3m,0,Fe0.7Co0.3,FeCo,51,51,51,cube,Fe0.7Co0.3,0,,,71701-40-1,0,SEM,500,,1,,,,,,,,300,-30,30,55.4,849.7,22.25,Superconductor Quantum Interference Vibrating Sample Magnetometer,49.9,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
103,bcc,im3m,0,Fe0.5Co0.5,FeCo,45,45,45,cube,Fe0.5Co0.5,0,,,71701-40-1,0,SEM,1000,1,,,,,,,,,10,-30,30,97.3,2899.7,39.33,Superconductor Quantum Interference Vibrating Sample Magnetometer,0,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
104,bcc,im3m,0,Fe0.5Co0.5,FeCo,48,48,48,cube,Fe0.5Co0.5,0,,,71701-40-1,0,SEM,500,1,,,,,,,,,150,-30,30,97.45,1499,32,Superconductor Quantum Interference Vibrating Sample Magnetometer,0,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
105,bcc,im3m,0,Fe0.5Co0.5,FeCo,51,51,51,cube,Fe0.5Co0.5,0,,,71701-40-1,0,SEM,500,,1,,,,,,,,300,-30,30,90.95,799.65,21,Superconductor Quantum Interference Vibrating Sample Magnetometer,0.05,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
106,bcc,im3m,0,Fe0.3Co0.7,FeCo,45,45,45,cube,Fe0.3Co0.7,0,,,71701-40-1,0,SEM,1000,1,,,,,,,,,10,-30,30,18.3,3999.65,21.6,Superconductor Quantum Interference Vibrating Sample Magnetometer,0.05,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
107,bcc,im3m,0,Fe0.3Co0.7,FeCo,48,48,48,cube,Fe0.3Co0.7,0,,,71701-40-1,0,SEM,500,1,,,,,,,,,150,-30,30,13,2299.75,18,Superconductor Quantum Interference Vibrating Sample Magnetometer,99.95,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
108,bcc,im3m,0,Fe0.3Co0.7,FeCo,51,51,51,cube,Fe0.3Co0.7,0,,,71701-40-1,0,SEM,500,,1,,,,,,,,300,-30,30,10.85,1099.75,11.7,Superconductor Quantum Interference Vibrating Sample Magnetometer,-0.05,,1,,,,0.1,doi.org/10.1007/s10948-017-4389-6,hydrothermal,,,,,,,,,
109,"cubic, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,20,20,20,cube,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,100,1,1,46-1312,19–0629,,,,FeO,,5,-60,60,24.75,1804.3,7.735,,-1804,7.735,1,7000,7,70,0.05,doi.org/10.1039/C3NR02596A,high temperature reduction,,,,,,,,,
110,"cubic, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,16,16,16,sphere,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,100,1,1,46-1312,19–0629,,,,FeO,,5,-60,60,25.45,1620.97,10.5,,-781.28,3.74,1,7000,7,70,0.05,doi.org/10.1039/C3NR02596A,high temperature reduction,,,,,,,,,
111,"cubic, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,25,25,25,octopod,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,100,1,1,46-1312,19–0629,,,,FeO,,5,-60,60,19.21,2044.82,7.1,,-1022,3.717,1,7000,7,70,0.05,doi.org/10.1039/C3NR02596A,high temperature reduction,,,,,,,,,
112,"cubic, cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,14,14,14,"octahedral ",Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,30,1,1,46–1312,19–0629,,,8.5,FeO/Fe3O4,,20,-52.5,52.5,20,681.83,10,,-471,0,1,100,0.1,1,0.2,doi.org/10.1103/PhysRevB.78.174414,thermal decomposition,190,,,,,,,,
113,"cubic, fcc",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,32,32,32,cubic,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,20,1,1,,,,,,FeO,,2,-20,20,54.36,2762,6.795,,-2762,3.125,1,1000,1,10,,doi.org/10.1021/nl2034514," controllable oxidation method",,,,,,,,,
114,"cubic, fcc",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,35,35,35,cubic,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,,,,,,,,,,,,2,-20,20,31.729,2396.15,9.495,,-2250,2,,1000,1,10,,doi.org/10.1021/nl2034514," controllable oxidation method",,,,,,,,,
115,"cubic, fcc",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,35,35,35,triangle,Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,,,,,,,,,,,,2,-20,20,44.14,959.2,13.638,,-583,7.934,,1000,1,10,,doi.org/10.1021/nl2034514," controllable oxidation method",,,,,,,,,
116,"bcc, orthorhombic",im3m,pnma,Fe/Fe3O4,Fe/Fe3O4,13.8,13.8,13.8,sphere,Fe1,Fe3O4,,,7439-89-6,1317-61-9,HR-TEM,50,1,,,,,,,,,5,-10,10,31,1897,28.9,Quantum Design 7 T SQUID magnetometer,-1190,,1,1000,1,10,,doi.org/10.1103/PhysRevB.80.134418,thermal decomposition of Fe(CO)5 at 180 °C,,,,,,,,,
117,cubic,pnma,0,Fe3O4,Fe3O4,16,16,16,sphere,Fe3O4,0,,,7439-89-7,1317-61-10,,,,,,,,,,,,5,-10,10,84,862,76.8,Quantum Design 7 T SQUID magnetometer,-133,,,1000,1,10,,doi.org/10.1103/PhysRevB.80.134418,thermal decomposition of Fe(CO)5 at 180 °C,,,,,,,,,
118,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,15,15,15,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,,,,,,,,,,,,30,-60,60,15.1225,1361.79,,,-20,,,5000,5,50,0.1,doi.org/10.3390/nano12030456,Peng’s method,,,,,,,,,
119,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,10,10,10,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,,,,,,,,,,,,15,-60,60,15.2465,2544.74,,,-1071.526,,,5000,5,50,0.1,doi.org/10.3390/nano12030456,were prepared by adding trimethylamine N-oxide,,,,,,,,,
120,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,8,8,8,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,,,,,,,,,,,,10,-60,60,15.2465,2545,,,-2188,,,5000,5,50,0.1,doi.org/10.3390/nano12030456,were prepared by adding trimethylamine N-oxide,,,,,,,,,
121,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,15,15,15,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,,,,,,,,,,,,5,-60,60,,,,,-1600,,,1000,1,10,0.1,doi.org/10.3390/nano12030456,were prepared by adding trimethylamine N-oxide,,,,,,,,,
122,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,10,10,10,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,,,,,,,,,,,,5,-60,60,,,,,-3500,,,1000,1,10,0.1,doi.org/10.3390/nano12030456,were prepared by adding trimethylamine N-oxide,,,,,,,,,
123,"cubic,  cubic",fm3m,fd3m,FeO/Fe3O4,FeO/Fe3O4,18,18,18,"octahedral ",Fe1O1,Fe3O4,,,1345-25-1,1317-61-9,TEM,5,1,,46–1312,19–0629,0.15406,,,,,300,-50,50,38.9,1538.46,16.23,,-1000,,1,0,0,0,,doi.org/10.3390/nano12030456,,,,,,,,,,
124,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,11.3,11.3,11.3,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,TEM,20,1,,,,,,,,,5,-10,10,0.989,10873.37,0.9845,,-22459,2.046,,7000,7,70,,doi.org/10.3390/nano12030456,Peng’s method,,,,,,,,,
125,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,11.3,11.3,11.3,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,TEM,20,1,,,,,,,,,5,-10,10,5.227,14972.9325,1.3525,,-18003,1.957,,9000,9,90,,doi.org/10.3390/nano12030456,Peng’s method,,,,,,,,,
126,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,17.9,17.9,17.9,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,TEM,20,1,,,,,,,,,5,-20,20,,,,,-140,,,2000,2,20,,doi.org/10.3390/nano12030456,Peng’s method,,,,,,,,,
127,"cubic,  cubic",im3m,p4332,Fe/Fe2O3,Fe/γ-Fe2O3,23.3,23.3,23.3,sphere,Fe1,Fe2O3,,,7439-89-6,1309-37-1,TEM,100,1,,,,,,,,,5,-20,20,20.862,1359.636,7.2,,-964.9,4.79,,1360,1.36,13.6,,doi.org/10.3390/nano12030456,utilizing the Kirkendall effect,,,,,,,,,
128,orthorhombic,pnma,0,La2FeMnO6,La2FeMnO6,,,,,La2Fe1Mn1O6,0,double perovskite,LFMO,,0,,,,1,,,,PANalytical X-ray diffractometer,,La2FeMnO6,262,15,-15,15,7.538,933.92,0.78,,-932,-0.01,,100,0.1,1,,doi.org/10.1007/s10854-021-06343-1,solid-state reaction method,96,,,,,,,,
129,orthorhombic,pnma,0,La2FeMnO6,La2FeMnO6,,,,,La2Fe1Mn1O6,0,double perovskite,LFMO,,0,,,,1,,,,PANalytical X-ray diffractometer,,La2FeMnO6,262,50,-15,15,5.942,206,0.5365,,-865.6,-0.0315,,100,0.1,1,,doi.org/10.1007/s10854-021-06343-1,solid-state reaction method,,,,,,,,,
130,orthorhombic,pnma,0,La2FeMnO6,La2FeMnO6,,,,,La2Fe1Mn1O6,0,double perovskite,LFMO,,0,,,,1,,,,PANalytical X-ray diffractometer,,La2FeMnO6,262,100,-15,15,20.87,176.327,0.222,,-122.374,-0.02,,100,0.1,1,,doi.org/10.1007/s10854-021-06343-1,solid-state reaction method,,,,,,,,,
131,orthorhombic,pnma,0,La2FeMnO6,La2FeMnO6,,,,,La2Fe1Mn1O6,0,double perovskite,LFMO,,0,,,,1,,,,PANalytical X-ray diffractometer,,La2FeMnO6,262,250,-15,15,,919.3,,,-510.4,,,100,0.1,1,,doi.org/10.1007/s10854-021-06343-1,solid-state reaction method,,,,,,,,,
132,"triclinic,cubic ",p1,fd3m,FeVO4-Fe3O4,FeVO4-Fe3O4,40,40,40,sphere,Fe1V1O4,Fe3O4,,,13977-56-5,1317-61-9,TEM,20,1,1,38-1372,85-1436,,Rigaku MiniFlex 600 x-ray diffractometer generating CuKa radiation,37,FeVO4,,5,-10,10,,107,,,-13,,,2000,2,20,,doi.org/10.1007/s11664-019-07083-z,,,,,,,,,,
133,"triclinic,cubic ",p1,fd3m,FeVO4-Fe3O4,FeVO4-Fe3O4,40,40,40,sphere,Fe1V1O4,Fe3O4,,,13977-56-5,1317-61-9,TEM,20,1,1,38-1372,85-1436,,Rigaku MiniFlex 600 x-ray diffractometer generating CuKa radiation,37,FeVO4,,5,-10,10,,450,,,-78,,,2000,2,20,,doi.org/10.1007/s11664-019-07083-z,,50,,,,,,,,
134,cubic,pm3m,0,LaFeO3,LaFeO3,44,44,44,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,29.87,LaFeO3,,300,-20,20,0.0025,5250,0.00091,(PPMS) from Quantum Design,-650,,1,0,0,0,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
135,cubic,pm3m,0,LaFeO3,LaFeO3,49,49,49,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,38.91,LaFeO3,,300,-20,20,0.0035,4750,0.000363,(PPMS) from Quantum Design,-254,,1,0,0,0,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
136,cubic,pm3m,0,LaFeO3,LaFeO3,64,64,64,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,47.57,LaFeO3,,300,-20,20,0.0035,1750,0.000227,(PPMS) from Quantum Design,-250,,1,0,0,0,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
137,cubic,pm3m,0,LaFeO3,LaFeO3,44,44,44,sphere,La1Fe1O3,0,LFO,lanthanum ferric oxide,12022-43-4,0,FESEM,20,1,1,,,0.154,,29.87,LaFeO3,,10,-20,20,,1000,,(PPMS) from Quantum Design,-2275,,,8000,8,80,1,doi.org/10.1007/s10948-017-4218-y,PVA-based sol-gel,,,,,,,,,
